season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,BAL,00-0040870,J.Lane,targets,1,3,24,3,9,0,15,0.125,0.3333,0.0,0.3333
2026,CAR,00-0039342,X.Legette,targets,2,6,66,2,28,4,38,0.0909,0.0714,0.1053,-0.0338
2026,DAL,00-0039530,B.Spann-Ford,targets,1,2,30,0,11,2,19,0.0667,0.0,0.1053,-0.1053
2026,SEA,00-0039299,G.Holani,rush_attempts,2,12,61,7,25,5,36,0.1967,0.28,0.1389,0.1411
2026,LA,00-0037557,R.Rivers,rush_attempts,1,5,28,4,12,1,16,0.1786,0.3333,0.0625,0.2708
2026,CIN,00-0033526,S.Perine,rush_attempts,2,7,49,2,20,5,29,0.1429,0.1,0.1724,-0.0724
2026,SF,00-0029892,K.Juszczyk,rush_attempts,1,0,24,0,8,0,16,0.0,0.0,0.0,0.0
2026,PHI,00-0033246,J.Mundt,targets,1,3,34,1,19,2,15,0.0882,0.0526,0.1333,-0.0807
2026,BAL,00-0034753,M.Andrews,targets,2,13,53,6,20,7,33,0.2453,0.3,0.2121,0.0879
2026,CAR,00-0036555,C.Hubbard,rush_attempts,2,22,40,9,14,13,26,0.55,0.6429,0.5,0.1429
2026,DAL,00-0037247,G.Pickens,targets,2,14,61,7,23,7,38,0.2295,0.3043,0.1842,0.1201
2026,SEA,00-0033908,C.Kupp,targets,2,5,50,2,21,3,29,0.1,0.0952,0.1034,-0.0082
2026,LA,00-0040590,K.Mumpfield,targets,2,3,57,1,22,2,35,0.0526,0.0455,0.0571,-0.0117
2026,CIN,00-0036410,T.Higgins,targets,2,16,65,7,25,9,40,0.2462,0.28,0.225,0.055
2026,SEA,00-0037545,R.Shaheed,targets,2,9,50,4,21,5,29,0.18,0.1905,0.1724,0.0181
2026,NO,00-0035644,N.Fant,targets,1,8,53,3,25,5,28,0.1509,0.12,0.1786,-0.0586
2026,LA,00-0036244,C.Parkinson,targets,2,4,57,2,22,2,35,0.0702,0.0909,0.0571,0.0338
2026,CIN,00-0034829,M.Gesicki,targets,1,7,34,3,14,4,20,0.2059,0.2143,0.2,0.0143
2026,CIN,00-0038619,A.Iosivas,targets,2,4,65,3,25,1,40,0.0615,0.12,0.025,0.095
2026,IND,00-0035021,A.Dulin,targets,1,1,29,0,10,1,19,0.0345,0.0,0.0526,-0.0526
2026,BAL,00-0040879,M.Hibner,targets,1,1,24,0,9,1,15,0.0417,0.0,0.0667,-0.0667
2026,SEA,00-0038543,J.Smith-Njigba,targets,2,22,50,12,21,10,29,0.44,0.5714,0.3448,0.2266
2026,LA,00-0037840,K.Williams,rush_attempts,2,23,55,8,19,15,36,0.4182,0.4211,0.4167,0.0044
2026,ATL,00-0032392,A.Hooper,targets,1,4,31,2,11,2,20,0.129,0.1818,0.1,0.0818
2026,CIN,00-0039814,E.All,targets,1,3,31,0,11,3,20,0.0968,0.0,0.15,-0.15
2026,BAL,00-0039064,Z.Flowers,targets,1,6,24,1,9,5,15,0.25,0.1111,0.3333,-0.2222
