season,week,game_id,team,player_id,player_name,position,spine_metric,spine_opportunities,spine_opps_stress,spine_opps_calm,team_spine_opportunities,team_spine_opps_stress,team_spine_opps_calm,targets,rushes,team_qb_designed_runs,team_qb_runs_inside_5,team_qb_runs_stress
2026,1,2026_01_NO_DET,NO,00-0041067,B.Lance,WR,targets,5,3,2,53,25,28,5,0,2,0,1
2026,1,2026_01_SF_LA,LA,00-0040737,T.Ferguson,TE,targets,1,1,0,27,12,15,1,0,2,1,1
2026,1,2026_01_TB_CIN,TB,00-0040129,E.Egbuka,WR,targets,6,2,4,27,11,16,6,0,1,0,0
2026,1,2026_01_TB_CIN,CIN,00-0036442,J.Burrow,QB,rush_attempts_qb,4,4,0,26,16,10,0,4,4,0,4
2026,2,2026_02_CAR_ATL,CAR,00-0039344,J.Brooks,RB,rush_attempts,5,3,2,21,10,11,1,5,1,0,0
2026,2,2026_02_CAR_ATL,ATL,00-0036429,C.Woerner,TE,targets,1,0,1,31,11,20,1,0,0,0,0
2026,2,2026_02_CIN_HOU,CIN,00-0041069,C.Young,WR,targets,1,0,1,31,11,20,1,0,1,0,0
2026,2,2026_02_GB_NYJ,GB,00-0038090,S.Moore,WR,targets,3,1,2,29,13,16,3,0,0,0,0
2026,2,2026_02_MIA_SF,SF,00-0041052,K.Black,RB,rush_attempts,7,3,4,24,8,16,0,7,2,0,0
2026,2,2026_02_NO_BAL,BAL,00-0032764,D.Henry,RB,rush_attempts,16,7,9,18,7,11,3,16,0,0,0
2026,2,2026_02_NYG_LA,LA,00-0036849,T.Atwell,WR,targets,2,0,2,30,10,20,2,0,3,0,2
2026,2,2026_02_PHI_TEN,PHI,00-0040867,M.Lemon,WR,targets,1,1,0,34,19,15,1,1,3,0,3
2026,2,2026_02_SEA_ARI,SEA,00-0037545,R.Shaheed,WR,targets,6,3,3,26,12,14,6,1,0,0,0
2026,2,2026_02_WAS_DAL,DAL,00-0036358,C.Lamb,WR,targets,9,3,6,31,12,19,9,0,1,0,1
2026,1,2026_01_BAL_IND,IND,00-0037292,A.Ogletree,TE,targets,1,0,1,29,10,19,1,0,0,0,0
2026,1,2026_01_BAL_IND,BAL,00-0034975,J.Hill,RB,rush_attempts,6,3,3,34,11,23,1,6,4,1,2
2026,1,2026_01_BUF_HOU,HOU,00-0040138,J.Noel,WR,targets,2,2,0,37,18,19,2,0,1,0,1
2026,1,2026_01_CHI_CAR,CHI,00-0040735,L.Burden,WR,targets,5,1,4,26,9,17,5,1,3,1,3
2026,1,2026_01_CHI_CAR,CAR,00-0039491,J.Coker,WR,targets,9,1,8,34,11,23,9,0,0,0,0
2026,1,2026_01_DAL_NYG,DAL,00-0038547,L.Schoonmaker,TE,targets,1,0,1,30,11,19,1,0,0,0,0
2026,1,2026_01_MIA_LV,LV,00-0039066,M.Mayer,TE,targets,7,3,4,29,13,16,7,0,4,0,2
2026,1,2026_01_NE_SEA,SEA,00-0038488,B.Russell,RB,rush_attempts,0,0,0,21,7,14,2,0,1,0,1
2026,1,2026_01_NE_SEA,NE,00-0033090,H.Henry,TE,targets,3,1,2,31,17,14,3,0,1,0,1
2026,1,2026_01_NO_DET,NO,00-0036040,J.Johnson,TE,targets,7,7,0,53,25,28,7,0,2,0,1
2026,1,2026_01_SF_LA,LA,00-0033110,T.Higbee,TE,targets,2,1,1,27,12,15,2,0,2,1,1
2026,1,2026_01_TB_CIN,CIN,00-0040785,D.Meyers,WR,targets,1,1,0,34,14,20,1,1,4,0,4
2026,2,2026_02_CAR_ATL,CAR,00-0040124,T.McMillan,WR,targets,10,4,6,32,17,15,10,0,1,0,0
2026,2,2026_02_CAR_ATL,ATL,00-0041044,Z.Branch,WR,targets,2,0,2,31,11,20,2,0,0,0,0
2026,2,2026_02_CIN_HOU,CIN,00-0036900,J.Chase,WR,targets,9,2,7,31,11,20,9,0,1,0,0
2026,2,2026_02_GB_NYJ,GB,00-0039811,M.Lloyd,RB,rush_attempts,6,2,4,18,5,13,2,6,0,0,0
2026,2,2026_02_MIA_SF,SF,00-0031408,M.Evans,WR,targets,3,1,2,21,8,13,3,0,2,0,0
2026,2,2026_02_NYG_LA,LA,00-0036244,C.Parkinson,TE,targets,2,1,1,30,10,20,2,0,3,0,2
2026,2,2026_02_PHI_TEN,PHI,00-0034351,D.Goedert,TE,targets,2,0,2,34,19,15,2,0,3,0,3
2026,2,2026_02_SEA_ARI,SEA,00-0038543,J.Smith-Njigba,WR,targets,11,6,5,26,12,14,11,0,0,0,0
