season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,ingest_run_id
2026,2,REG,2026_02_WAS_DAL,202609200dal,WillAn04,Antonio Williams,WAS,DAL,0,0.0,1,1.0,0,1,0,0,0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,202609200sfo,WillMa12,Malik Willis,MIA,SF,2,0.087,5,0.217,4,10,5,1,10,0.357,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,StafMa00,Matthew Stafford,LA,NYG,4,0.133,1,0.033,1,8,0,1,2,0.061,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,WinsJa00,Jameis Winston,NYG,LA,1,0.037,8,0.296,2,10,2,5,9,0.31,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,DartJa00,Jaxson Dart,NYG,LA,0,0.0,0,0.0,0,4,0,1,1,0.2,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,202609090sea,DarnSa00,Sam Darnold,SEA,NE,0,0.0,1,0.5,1,1,0,0,1,0.333,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,202609090sea,MayeDr00,Drake Maye,NE,SEA,1,0.032,2,0.065,3,12,2,3,8,0.19,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,BennSt00,Stetson Bennett,LA,SF,0,0.0,1,0.333,0,0,0,1,1,0.25,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,BurrJo01,Joe Burrow,CIN,TB,0,0.0,3,0.088,1,16,3,5,9,0.243,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,ShouTy00,Tyler Shough,NO,DET,2,0.038,9,0.173,5,25,5,4,14,0.222,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,AlleJo02,Josh Allen,BUF,HOU,0,0.0,3,0.107,2,5,2,1,5,0.156,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,JoneDa05,Daniel Jones,IND,BAL,3,0.103,3,0.103,2,8,0,7,9,0.265,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,RodgAa00,Aaron Rodgers,PIT,ATL,2,0.054,6,0.162,2,4,5,3,10,0.238,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,RushCo00,Cooper Rush,ATL,PIT,0,0.0,4,0.19,4,2,0,1,5,0.192,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,WardCa00,Cam Ward,TEN,NYJ,0,0.0,8,0.286,3,10,6,3,12,0.308,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,MurrKy00,Kyler Murray,MIN,GB,0,0.0,0,0.0,0,2,1,1,2,0.286,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,HurtJa00,Jalen Hurts,PHI,WAS,1,0.045,5,0.227,3,12,2,2,7,0.219,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,DaniJa02,Jayden Daniels,WAS,PHI,4,0.138,5,0.172,1,7,5,1,7,0.184,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,PresDa01,Dak Prescott,DAL,NYG,2,0.065,5,0.161,0,5,1,3,4,0.111,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,MahoPa00,Patrick Mahomes,KC,DEN,2,0.08,5,0.2,2,11,1,3,6,0.182,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,NixxBo00,Bo Nix,DEN,KC,3,0.111,4,0.148,4,10,2,3,9,0.273,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,AlleJo02,Josh Allen,BUF,DET,2,0.071,5,0.179,2,15,4,6,12,0.316,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,RushCo00,Cooper Rush,ATL,CAR,0,0.0,5,0.294,1,7,1,1,3,0.15,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,StraJa00,Jack Strand,ATL,CAR,1,0.071,2,0.143,2,8,3,2,7,0.368,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,202609200chi,BageTy00,Tyson Bagent,CHI,MIN,1,0.125,1,0.125,1,7,1,1,3,0.3,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,202609200chi,WentCa00,Carson Wentz,MIN,CHI,4,0.211,3,0.158,3,12,1,1,5,0.208,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,StroCJ00,C.J. Stroud,HOU,CIN,1,0.02,9,0.184,4,7,6,3,13,0.21,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,KroeKa00,Kai Kroeger,HOU,CIN,0,0.0,0,0.0,0,1,0,0,0,0.0,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,202609200nwe,MayeDr00,Drake Maye,NE,PIT,3,0.143,1,0.048,3,13,4,3,10,0.37,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,202609200nwe,RodgAa00,Aaron Rodgers,PIT,NE,2,0.057,8,0.229,4,18,3,3,10,0.227,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,202609200nwe,RudoMa00,Mason Rudolph,PIT,NE,0,0.0,0,0.0,0,0,0,0,0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,202609200nyj,SmitGe00,Geno Smith,NYJ,GB,2,0.057,2,0.057,4,15,8,3,15,0.306,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,202609200nyj,LoveJo03,Jordan Love,GB,NYJ,6,0.207,4,0.138,3,9,1,1,5,0.156,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,WatsDe00,Deshaun Watson,CLE,TB,2,0.067,2,0.067,2,12,0,2,4,0.114,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,202609200sdg,HerbJu00,Justin Herbert,LAC,LV,3,0.115,6,0.231,3,10,3,6,12,0.387,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,202609200crd,BrisJa00,Jacoby Brissett,ARI,SEA,1,0.038,5,0.192,2,5,1,5,8,0.258,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,202609200dal,DaniJa02,Jayden Daniels,WAS,DAL,0,0.0,3,0.176,0,1,2,2,4,0.174,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,202609200dal,BrowDy00,Dyami Brown,WAS,DAL,0,0.0,0,0.0,0,0,0,0,0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,202609200sfo,PurdBr00,Brock Purdy,SF,MIA,1,0.048,0,0.0,0,6,2,1,3,0.12,20260925T013701Z
2026,2,REG,2026_02_IND_KC,202609200kan,MahoPa00,Patrick Mahomes,KC,IND,3,0.07,4,0.093,2,10,3,2,7,0.137,20260925T013701Z
2026,2,REG,2026_02_IND_KC,202609200kan,JoneDa05,Daniel Jones,IND,KC,1,0.033,2,0.067,0,15,1,4,5,0.152,20260925T013701Z
