season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,rushing_broken_tackles,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,ingest_run_id
2026,1,REG,2026_01_NO_DET,202609130det,JohnJu02,Juwan Johnson,NO,DET,,0,0,0.0,0,109.5,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,CollNi00,Nico Collins,HOU,BUF,,0,0,0.0,0,125.0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,MontDa01,David Montgomery,HOU,BUF,,0,0,0.0,0,132.6,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,MoreFo00,Foster Moreau,HOU,BUF,,0,0,0.0,0,97.9,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,MarkWo00,Woody Marks,HOU,BUF,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,StovCa00,Cade Stover,HOU,BUF,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,KincDa00,Dalton Kincaid,BUF,HOU,,2,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,MoorD.00,D.J. Moore,BUF,HOU,,0,0,0.0,0,145.8,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,KnoxDa00,Dawson Knox,BUF,HOU,,0,0,0.0,0,95.8,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,WarrTy00,Tyler Warren,IND,BAL,,0,0,0.0,0,104.2,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,DownJo00,Josh Downs,IND,BAL,,0,0,0.0,0,82.3,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,McGoSe01,Seth McGowan,IND,BAL,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,DuliAs00,Ashton Dulin,IND,BAL,,0,1,1.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,TreaLa00,Laquon Treadwell,IND,BAL,,0,0,0.0,1,0.0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,AndrMa00,Mark Andrews,BAL,IND,,0,1,0.167,0,91.7,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,HenrDe00,Derrick Henry,BAL,IND,,0,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,HillJu00,Justice Hill,BAL,IND,,0,0,0.0,0,108.3,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,LaneJa01,Ja'Kobi Lane,BAL,IND,,0,0,0.0,0,45.1,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,WashPa01,Parker Washington,JAX,CLE,,0,0,0.0,0,158.3,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,ThomBr06,Brian Thomas,JAX,CLE,,0,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,CameJo01,Josh Cameron,JAX,CLE,,0,0,0.0,0,147.9,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,HuntTr00,Travis Hunter,JAX,CLE,,0,0,0.0,0,100.0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,BoerNa00,Nate Boerkircher,JAX,CLE,,0,0,0.0,0,104.2,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,AbduAm00,Ameer Abdullah,JAX,CLE,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,MorrQu00,Quintin Morris,JAX,CLE,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,ConcKC00,KC Concepcion,CLE,JAX,,1,0,0.0,0,102.5,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,SandRa00,Raheim Sanders,CLE,JAX,,0,0,0.0,0,101.4,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,BostDe00,Denzel Boston,CLE,JAX,,0,0,0.0,0,135.4,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,JudkQu00,Quinshon Judkins,CLE,JAX,,1,0,0.0,0,102.1,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,FreiPa00,Pat Freiermuth,PIT,ATL,,1,0,0.0,0,144.6,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,WarrJa01,Jaylen Warren,PIT,ATL,,2,0,0.0,0,85.4,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,PittMi01,Michael Pittman Jr.,PIT,ATL,,1,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,WashDa03,Darnell Washington,PIT,ATL,,1,0,0.0,0,104.2,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,LondDr00,Drake London,ATL,PIT,,0,0,0.0,0,74.0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,DotsJa00,Jahan Dotson,ATL,PIT,,0,0,0.0,1,16.7,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,PittKy00,Kyle Pitts,ATL,PIT,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,RobiWa01,Wan'Dale Robinson,TEN,NYJ,,0,0,0.0,0,93.1,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,TateCa00,Carnell Tate,TEN,NYJ,,0,0,0.0,0,84.0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,PollTo00,Tony Pollard,TEN,NYJ,,0,0,0.0,0,56.2,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,SadiKe00,Kenyon Sadiq,NYJ,TEN,,0,0,0.0,0,95.8,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,HallBr03,Breece Hall,NYJ,TEN,,0,0,0.0,0,100.0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,WillIs03,Isaiah Williams,NYJ,TEN,,0,0,0.0,0,95.8,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,CoopOm00,Omar Cooper,NYJ,TEN,,2,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,SmitAr01,Arian Smith,NYJ,TEN,,0,1,1.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,McCoLa00,Ladd McConkey,LAC,ARI,,0,0,0.0,0,150.0,20260925T013701Z
