season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,2,REG,2026_02_WAS_DAL,00-0039530,DAL,WAS,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,00-0039532,MIA,SF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0039576,IND,KC,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0039589,TB,CLE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,00-0039603,HOU,CIN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,00-0039632,CIN,HOU,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039634,NYJ,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039660,DET,BUF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0039686,WAS,DAL,1,1,14,0,0,0,4,10.0,1,0.835508469026536,0,1,0,0,0,3.5,0.0294117647058824,0.011142061281337,0.0519170899557595,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039718,MIN,CHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0039725,NO,BAL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039731,TEN,PHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,00-0039732,DEN,JAX,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039734,LA,NYG,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039738,LA,NYG,1,1,13,0,0,0,-6,19.0,1,1.28598926746054,0,1,0,0,0,-2.16666666666667,0.0333333333333333,-0.0181268882175227,0.0373111782477341,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039739,PIT,NE,5,6,28,0,0,0,21,22.0,3,0.369486310577486,0,0,0,0,0,1.33333333333333,0.162162162162162,0.0976744186046512,0.311615336266499,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039740,PHI,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039741,PIT,NE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039745,CHI,MIN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039746,PHI,TEN,2,2,5,0,0,0,0,5.0,0,-1.27726040693233,0,0,0,0,0,0.0,0.0588235294117647,0.0,0.0882352941176471,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,00-0039752,CIN,HOU,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039770,NE,PIT,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039772,LA,NYG,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039774,LA,NYG,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039776,LA,NYG,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039789,NYJ,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
